Elapsedtime,r,g,b,bpm
0:00:02.614015,0,0,0,74
0:00:02.628909,0,0,0,74
0:00:02.643086,0,0,0,74
0:00:02.657535,0,0,0,74
0:00:02.672050,0,0,0,74
0:00:02.686470,0,0,0,74
0:00:02.701430,0,0,0,74
0:00:02.715472,0,0,0,74
0:00:02.729434,0,0,0,74
0:00:02.742493,0,0,0,74
0:00:02.756664,0,0,0,74
0:00:02.770518,0,0,0,74
0:00:02.784514,0,0,0,74
0:00:02.798574,0,0,0,74
0:00:02.813541,0,0,0,74
0:00:02.827633,0,0,0,74
0:00:02.842592,0,0,0,74
0:00:02.856808,0,0,0,74
0:00:02.871845,0,0,0,74
0:00:02.886823,0,0,0,74
0:00:02.901070,0,0,0,74
0:00:02.915684,0,0,0,74
0:00:02.929804,0,0,0,74
0:00:02.944803,0,0,0,74
0:00:02.959397,0,0,0,74
0:00:02.974333,0,0,0,74
0:00:02.988472,0,0,0,74
0:00:03.002784,0,0,0,74
0:00:03.016816,0,0,0,74
0:00:03.030042,0,0,0,74
0:00:03.044005,0,0,0,74
0:00:03.057988,0,0,0,74
0:00:03.072865,0,0,0,74
0:00:03.087154,0,0,0,74
0:00:03.101195,0,0,0,74
0:00:03.115339,0,0,0,74
0:00:03.129586,0,0,0,74
0:00:03.143486,0,0,0,74
0:00:03.157843,0,0,0,74
0:00:03.172134,0,0,0,74
0:00:03.186972,0,0,0,74
0:00:03.201148,0,0,0,74
0:00:03.215272,0,0,0,74
0:00:03.229491,0,0,0,74
0:00:03.241458,0,0,0,74
0:00:03.256418,0,0,0,74
0:00:03.270383,0,0,0,74
0:00:03.285341,0,0,0,74
0:00:03.299800,0,0,0,74
0:00:03.314108,0,0,0,74
0:00:03.328768,0,0,0,74
0:00:03.342882,0,0,0,74
0:00:03.356833,0,0,0,74
0:00:03.371146,0,0,0,74
0:00:03.386082,0,0,0,74
0:00:03.401189,0,0,0,74
0:00:03.415286,0,0,0,74
0:00:03.429298,0,0,0,74
0:00:03.443260,0,0,0,74
0:00:03.457221,0,0,0,74
0:00:03.472404,0,0,0,74
0:00:03.487582,0,0,0,74
0:00:03.502092,0,0,0,74
0:00:03.515480,0,0,0,74
0:00:03.530533,0,0,0,74
0:00:03.543810,0,0,0,74
0:00:03.558072,0,0,0,74
0:00:03.572131,0,0,0,74
0:00:03.586113,0,0,0,74
0:00:03.600209,0,0,0,74
0:00:03.615337,0,0,0,74
0:00:03.629465,0,0,0,74
0:00:03.644461,0,0,0,74
